,customer_id,overdue_sum,pay_normal,credit_limit,new_balance,highest_balance,high_credit_risk
543,59006139,0,2,,27901.2,23751.0,0
547,58994468,0,1,,47875.2,42500.0,0
561,58993373,0,1,,11116.8,14400.0,1
569,58992868,0,1,68200.0,6244.8,5704.0,0
573,59005496,0,2,,27297.6,23248.0,0
575,58995303,0,3,82500.0,24252.0,50050.0,1
585,59002619,0,1,61600.0,6177.6,5648.0,0
590,58993467,0,2,44000.0,47262.0,39884.0,0
592,58987077,0,2,33000.0,31924.8,27104.0,0
603,59004779,0,4,,15120.0,21500.0,0
618,54991585,0,3,,0.0,,0
626,54984913,0,4,,204925.2,179500.0,0
644,54987316,0,3,22000.0,21976.8,19800.0,0
656,59005860,0,1,,240000.0,200500.0,0
662,59005543,0,1,526900.0,288790.8,241159.0,1
667,54984978,0,1,,190800.0,159500.0,1
670,58988287,0,1,99000.0,685.2,1071.0,0
677,59005266,0,1,78100.0,4102.8,3918.0,0
679,54988630,0,2,,18973.2,20265.0,0
692,59001486,0,1,346500.0,2865.6,2888.0,0
717,54984810,0,2,66000.0,14347.2,16139.0,0
720,54988422,0,3,33000.0,4760.4,4467.0,0
732,58995594,0,3,,1066.8,36632.0,0
755,54988329,0,2,,59666.4,67500.0,0
763,54987215,0,2,,17157.6,21950.0,0
784,58996840,0,2,,5821.2,5351.0,1
786,59002016,0,1,,684.0,1070.0,0
790,54984680,0,3,,12396.0,8080.0,0
802,59005303,0,4,,35043.6,29703.0,0
809,59001917,0,2,,22764.0,19470.0,1
811,59002945,0,3,,2386.8,3173.0,0
817,54991086,0,4,106700.0,104354.4,98609.0,1
819,59003358,0,4,49500.0,33427.2,40557.0,0
822,59002037,0,3,44000.0,16880.4,14566.0,1
825,59005841,0,2,,0.0,,0
835,58995703,0,1,,253.2,711.0,1
847,58996591,0,2,88000.0,2805.6,5826.0,0
850,59003325,0,1,64900.0,888.0,1240.0,1
854,59003249,0,1,46200.0,4102.8,3918.0,0
865,59003959,0,1,,0.0,,0
875,54988522,0,1,66000.0,682.8,1068.0,1
878,54984435,0,1,27500.0,496.8,,0
888,54991108,0,1,,0.0,,1
898,58987886,0,2,,66806.4,55500.0,0
928,58994712,0,1,101200.0,14290.8,12408.0,0
931,58995842,0,1,42900.0,682.8,1068.0,1
934,59004141,0,1,,0.0,,0
945,58997183,0,1,,30109.2,26500.0,1
948,54991827,0,3,60500.0,24163.2,24036.0,0
953,54987381,0,1,55000.0,2302.8,3719.0,0
958,58987512,0,1,,240000.0,200500.0,0
963,58987931,0,3,,46923.6,49379.0,0
971,58987232,0,5,118800.0,145.2,1068.0,0
974,59005490,0,5,93500.0,-1.2,85473.0,0
979,58996172,0,3,,80880.0,67900.0,1
988,59001195,0,2,,724740.0,470500.0,0
992,58988263,0,3,82500.0,0.0,44452.0,0
1000,58987200,0,1,,3248.4,3207.0,1
1009,59004680,0,2,201300.0,2649.6,10223.0,0
1016,58995283,0,1,,0.0,,0
1029,58994781,0,1,,350953.2,290500.0,0
1032,59002087,0,1,105600.0,7202.4,6501.0,0
1034,54984634,0,1,48400.0,56890.8,47908.0,1
1039,59002775,0,1,189200.0,6838.8,6198.0,0
1048,58994224,0,1,129800.0,124102.8,103918.0,0
1056,59004235,0,1,,24000.0,20500.0,1
1066,58996127,0,2,,16800.0,24500.0,0
1078,58992711,0,1,110000.0,4102.8,3918.0,0
1080,58987375,0,1,16500.0,493.2,911.0,0
1090,58995381,0,1,,180000.0,150500.0,0
1098,59004757,0,1,,728560.8,600500.0,0
1100,58992285,0,1,74800.0,7870.8,7058.0,1
1104,58996069,0,1,116600.0,684.0,1070.0,0
1112,54988214,0,1,,125208.0,109500.0,0
1124,54990604,0,1,119900.0,4102.8,3918.0,1
1134,58995231,0,2,88000.0,10436.4,9197.0,0
1143,59004540,0,1,,0.0,50500.0,1
1154,59003330,0,2,,10288.8,9074.0,0
1159,54988666,0,3,,63998.4,80500.0,0
1163,58996802,0,3,,23520.0,28500.0,0
1173,58987142,0,1,104500.0,19441.2,16700.0,0
1197,58994493,0,2,68200.0,55249.2,46540.0,1
1201,58988044,0,1,,1026.0,,0
1206,58994607,0,2,,48448.8,48950.0,0
1213,58993369,0,1,112200.0,2050.8,2208.0,1
1215,59004230,0,2,55000.0,9046.8,8039.0,0
1222,58994284,0,2,,120000.0,100500.0,0
1232,58987926,0,2,69300.0,35757.6,32018.0,0
1244,54992046,0,2,49500.0,11551.2,10126.0,0
1246,59003524,0,1,108900.0,28654.8,24379.0,0
1248,54988581,0,2,66000.0,33946.8,28789.0,0
1250,58987961,0,4,,147598.8,125500.0,1
1254,58991841,0,1,16500.0,0.0,,0
1260,58993137,0,3,,4622.4,2209.0,1
1272,54988520,0,2,,90729.6,83500.0,1
1274,54992137,0,1,,178448.4,159943.0,0
1283,54989513,0,1,,21600.0,20500.0,0
1300,59005917,0,4,105600.0,12062.4,14742.0,0
1302,54992131,0,3,99000.0,11924.4,10437.0,0
1304,54984987,0,3,,6975.6,6313.0,0
1309,58986657,0,1,179300.0,4102.8,3918.0,0
1316,54986797,0,1,171600.0,682.8,1068.0,0
1333,54986472,0,1,68200.0,682.8,1068.0,0
1336,54992408,0,3,,11913.6,11682.0,0
1360,59001304,0,1,121000.0,4604.4,4337.0,0
1363,58996837,0,3,,114328.8,100500.0,0
1366,54988117,0,2,,24780.0,30000.0,1
1377,58994114,0,1,55000.0,0.0,,0
1381,54991441,0,2,,231681.6,196500.0,1
1385,54992451,0,3,,235296.0,200500.0,0
1390,54984577,0,2,174900.0,153999.6,128833.0,0
1395,59004966,0,1,,114435.6,100500.0,0
1397,58986784,0,1,,0.0,,1
1405,59004885,0,2,,18019.2,17662.0,1
1415,58994409,0,1,,18662.4,28500.0,0
1420,58991302,0,1,221100.0,39292.8,33243.0,0
1432,59005995,0,4,42900.0,43974.0,38946.0,0
1435,58992849,0,2,,59204.4,1525.0,0
1449,59000887,0,1,,17136.0,20900.0,0
1461,58995052,0,2,,6006.0,6225.0,0
1478,54991626,0,2,16500.0,14221.2,13114.0,0
1491,54991497,0,1,,60000.0,50500.0,0
1501,58995080,0,1,,33110.4,34990.0,0
1508,54991614,0,3,106700.0,26734.8,22779.0,0
1510,54986508,0,1,55000.0,1824.0,,0
1516,54986288,0,1,55000.0,16602.0,45855.0,0
1525,58995436,0,4,44000.0,47858.4,43505.0,1
1531,59005683,0,5,69300.0,32684.4,42326.0,0
1534,54990680,0,1,44000.0,44622.0,38856.0,1
1537,59003950,0,3,,27000.0,30500.0,0
1542,58993220,0,1,,11346.0,9955.0,1
1546,59004688,0,4,,0.0,7216.0,0
1553,54990331,0,2,194700.0,-25.2,8228.0,0
1557,58986996,0,2,,11400.0,19500.0,1
1563,59003717,0,1,,-1.2,,0
1569,58991638,0,2,61600.0,26078.4,49221.0,0
1571,54987199,0,1,55000.0,57937.2,49528.0,0
1582,58995950,0,4,,136658.4,120357.0,1
1601,58986716,0,1,,51516.0,48200.0,0
1619,58987097,0,2,103400.0,12856.8,28555.0,0
1633,59002145,0,1,23100.0,3266.4,3222.0,0
1640,54984235,0,1,,120000.0,100500.0,0
1642,58997157,0,4,55000.0,14720.4,40919.0,1
1645,58993064,0,2,,0.0,1400.0,0
1657,58993422,0,1,,2350.8,11720.0,0
1666,59001676,0,2,,10774.8,,1
1675,58994057,0,2,,583700.4,500500.0,0
1679,59001171,0,1,,34650.0,32000.0,0
1687,59002226,0,1,,57916.8,38500.0,1
1693,54988411,0,4,,15644.4,30579.0,1
1695,58986587,0,1,,105600.0,88500.0,0
1699,54987336,0,1,,294043.2,250500.0,0
1720,54989325,0,1,,578613.6,482500.0,0
1724,54984241,0,3,,68474.4,59500.0,1
1727,54990315,0,1,,30600.0,26000.0,0
1736,58992419,0,2,,36480.0,38500.0,1
1742,58991580,0,1,,56160.0,52500.0,0
1752,58999186,0,1,,0.0,,1
1760,59005275,0,5,,81583.2,100500.0,0
1768,59004621,0,2,132000.0,3708.0,3590.0,0
1770,59005880,0,4,193600.0,69610.8,62929.0,0
1778,58993948,0,2,117700.0,15718.8,13598.0,0
1780,59002841,0,1,100100.0,8298.0,7415.0,0
1783,58993847,0,1,,1678.8,1899.0,1
1788,54987040,0,1,,600.0,1000.0,1
1795,58986298,0,1,,193200.0,161500.0,0
1814,58996882,0,4,,15120.0,25700.0,0
1825,54986575,0,1,,11760.0,15200.0,1
1828,58993173,0,3,88000.0,64660.8,81133.0,1
1830,54986974,0,3,55000.0,3652.8,16071.0,0
1841,59004857,0,5,22000.0,9480.0,17204.0,0
1844,58991228,0,1,,10396.8,13500.0,0
1854,59003229,0,3,,-1.2,2281.0,0
1858,58990519,0,1,,83034.0,69695.0,1
1862,58986183,0,2,,46671.6,39393.0,0
1868,59000497,0,2,69300.0,3676.8,4045.0,0
1871,54988697,0,4,,2127.6,6824.0,0
1873,58986727,0,2,,2024.4,2586.0,1
1880,58996294,0,2,,653330.4,470500.0,0
1884,58988212,0,4,,307.2,47941.0,0
1939,59004946,0,5,77000.0,51295.2,69058.0,0
1942,58992002,0,2,,54000.0,50500.0,0
1960,54984830,0,4,88000.0,0.0,,0
1963,59002949,0,3,22000.0,33.6,13334.0,0
1965,58986218,0,2,,1292.4,2033.0,0
1971,59000077,0,2,105600.0,4492.8,4243.0,1
1984,58999712,0,1,,17596.8,22500.0,1
1992,54988011,0,4,,414792.0,360500.0,1
2008,58993621,0,2,,-13485.6,28393.0,1
2011,58988250,0,4,,45196.8,57000.0,0
2018,59002933,0,3,,35286.0,35270.0,0
2021,58996247,0,6,215600.0,49579.2,55658.0,0
2029,58996619,0,5,,5006.4,60809.0,0
2031,59003155,0,3,46200.0,18438.0,15865.0,0
2035,58996494,0,4,22000.0,6144.0,6712.0,0
2040,58986950,0,4,,53320.8,48929.0,0
2054,54986826,0,2,,49800.0,525500.0,0
2056,58986339,0,2,,29794.8,25329.0,0
2065,58990611,0,2,172700.0,13507.2,37412.0,1
2068,58994773,0,4,111100.0,103656.0,86880.0,0
2070,59001607,0,3,105600.0,122484.0,102569.0,1
2087,54991321,0,3,72600.0,85938.0,72114.0,0
2090,54989180,0,1,42900.0,30067.2,25555.0,0
2094,54989207,0,2,,240379.2,200500.0,1
2098,58988200,0,3,,0.0,,1
2114,54991473,0,5,,9750.0,20000.0,0
2120,59002062,0,3,,42615.6,38500.0,0
2125,58992588,0,3,,475398.0,400500.0,0
2132,59000783,0,2,,291261.6,250500.0,1
2135,54986274,0,2,,39196.8,42500.0,0
2143,58985578,0,1,,0.0,,0
2154,58985589,0,2,,59810.4,3116.0,1
2159,58992044,0,3,,18240.0,19500.0,1
2165,58994149,0,5,,33600.0,40500.0,0
2182,58999709,0,1,,523.2,936.0,0
2191,58994340,0,6,,0.0,,1
2196,58997757,0,3,,12516.0,15400.0,0
2203,58983272,0,2,115500.0,5956.8,6690.0,0
2207,59003507,0,7,105600.0,104.4,81060.0,1
2209,59001898,0,4,78100.0,0.0,1060.0,0
2212,58988923,0,2,36300.0,23988.0,20490.0,0
2219,58999633,0,5,22000.0,8682.0,11134.0,0
2231,54983144,0,1,11000.0,673.2,1060.0,1
2235,54990614,0,6,,671072.4,600500.0,1
2246,58985236,0,4,,149040.0,2929.0,0
2263,59004930,0,9,,3375.6,34300.0,0
2272,58990724,0,3,,470130.0,812300.0,0
2291,58997876,0,5,,7180.8,62311.0,0
2299,59000383,0,5,,25892.4,47632.0,1
2301,59004856,0,7,82500.0,38584.8,43492.0,0
2303,54983353,0,5,,71703.6,64500.0,0
2308,58989048,0,4,,13077.6,22300.0,0
2315,58984937,0,4,,3070.8,3059.0,0
2320,58986566,0,3,,569050.8,500500.0,0
2340,58984645,0,4,,40998.0,36104.0,1
2354,54987017,0,6,,210088.8,190500.0,0
2359,58998866,0,5,,276734.4,247500.0,1
2369,58997551,0,1,127600.0,-46.8,1060.0,1
2372,58991182,0,8,,104293.2,100500.0,0
2377,58982909,0,4,,99158.4,83132.0,0
2392,58989891,0,7,,4252.8,14700.0,0
2402,58998988,0,8,,127914.0,147596.0,0
2407,54988879,0,7,,15000.0,30500.0,0
2410,58990958,0,7,,737126.4,650500.0,0
2427,58999208,0,8,,295040.4,266938.0,0
2459,59004000,0,10,,5191.2,17405.0,0
2462,54987651,0,8,,-1.2,37381.0,0
2473,54989322,0,8,,6476.4,16019.0,0
2477,58982857,0,9,,1891.2,19500.0,1
2479,54983229,0,9,,0.0,25400.0,0
2493,58994911,0,12,,0.0,24500.0,0
2500,58990112,0,11,,0.0,36100.0,0
2507,59001124,0,14,110000.0,684.0,1436.0,0
2513,54987829,0,16,82500.0,73298.4,61582.0,0
2515,58989327,0,10,20680.0,1962.0,12852.0,0
2519,54989781,0,12,,334130.4,2400500.0,0
2522,58994510,0,1,,0.0,30200.0,0
2529,58982587,0,9,,120000.0,100500.0,0
2532,58985008,0,10,,0.0,38500.0,1
2539,58982511,0,8,,2186.4,,0
2557,54990270,0,1,159500.0,759.6,1133.0,0
2560,59002731,0,4,,18199.2,,0
2564,59002213,0,4,,29568.0,35700.0,0
2567,58992134,0,4,88000.0,48170.4,65851.0,0
2582,58993203,0,3,,8875.2,15300.0,0
2593,54986049,0,3,119900.0,11221.2,50754.0,0
2596,58986294,0,3,,13500.0,23000.0,0
2604,54989455,0,1,104500.0,4102.8,3918.0,0
2606,54988000,0,5,88000.0,8601.6,75926.0,0
2609,58995803,0,6,,17432.4,39486.0,0
2610,54983694,0,2,99000.0,0.0,,0
2614,59003949,0,3,88000.0,452.4,2288.0,0
2623,58987426,0,5,,15355.2,32490.0,0
2639,59004587,0,1,,225596.4,200500.0,0
2643,59003723,0,4,,24000.0,30500.0,0
2645,54990275,0,3,,172179.6,150500.0,0
2660,59000340,0,2,33000.0,0.0,781.0,0
2666,54985820,0,2,,35640.0,33500.0,0
2683,59005852,0,7,20900.0,1146.0,3523.0,0
2685,58991753,0,3,,115996.8,100500.0,0
2689,58993081,0,5,,8220792.0,6880500.0,0
2711,58991640,0,3,,34020.0,41000.0,0
2721,58985964,0,2,,24000.0,25500.0,0
2733,54985924,0,3,,0.0,7230.0,1
2739,59006193,0,3,,0.0,12770.0,0
2747,58987368,0,4,,7924.8,12400.0,0
2761,58991432,0,4,,9470.4,3871.0,0
2764,58990850,0,3,110000.0,18552.0,15960.0,0
2766,58995389,0,4,,386210.4,350500.0,1
2767,54983279,0,1,,1011.6,,0
2770,54984717,0,7,,37544.4,31787.0,0
2771,58991594,0,3,223300.0,124366.8,104139.0,1
2778,54989030,0,2,94600.0,11041.2,11435.0,0
2783,58990258,0,1,77000.0,74634.0,62694.0,0
2785,58990649,0,3,,654260.4,564938.0,0
2788,58990934,0,1,,89665.2,,1
2803,58999012,0,2,,832.8,1062.0,0
2813,58987924,0,5,,84000.0,70500.0,0
2829,58991823,0,4,,466297.2,399290.0,0
2831,58997580,0,1,132000.0,0.0,,0
2835,54988306,0,7,88000.0,3859.2,21100.0,0
2839,54984606,1,4,36300.0,4006.8,5441.0,0
2843,58990576,0,3,,466923.6,395500.0,0
2845,54986538,0,3,,8985.6,7988.0,1
2852,54983792,0,1,,9312.0,8260.0,0
2867,59000853,0,2,97900.0,129.6,1381.0,0
2870,58984882,0,1,66000.0,36000.0,30500.0,0
2877,58987541,0,5,46200.0,46047.6,42271.0,1
2880,58987963,0,5,24200.0,0.0,15664.0,0
2896,58988021,0,6,102300.0,7855.2,13676.0,0
2898,59002060,0,4,67100.0,29358.0,24965.0,0
2905,58984992,0,2,,16560.0,21200.0,0
2910,59004716,0,7,44000.0,0.0,3869.0,0
2917,58995727,0,7,42900.0,18499.2,38338.0,0
2920,59003111,0,6,,14994.0,25490.0,1
2927,58997104,0,6,,132559.2,150500.0,0
2932,58998105,0,3,,57824.4,50500.0,0
2943,58994324,0,7,99000.0,22237.2,57489.0,0
2946,58999945,0,5,55000.0,4646.4,26327.0,0
2950,58990628,0,4,,9264.0,,0
2970,58982795,0,2,168300.0,11156.4,23305.0,1
2973,58984430,0,2,55000.0,41737.2,51205.0,0
2980,54986705,0,6,31900.0,6634.8,11473.0,0
2983,58984737,0,4,,88304.4,75500.0,0
2987,54986067,0,6,102300.0,42679.2,36066.0,0
2988,58995860,0,9,62700.0,17664.0,55655.0,0
2990,59000307,0,5,,3013.2,11219.0,0
3023,58991389,0,8,,5280.0,22500.0,0
3031,58985654,0,8,138600.0,131935.2,110446.0,0
3035,58989033,0,6,,42409.2,,0
3040,58999966,0,9,,1935.6,19900.0,0
3054,58998781,0,6,40700.0,-34.8,14571.0,0
3056,59000457,0,5,,0.0,100500.0,0
3061,58999868,0,11,,0.0,28000.0,0
3069,54982897,0,9,,28309.2,36700.0,0
3074,59000764,0,11,,0.0,20100.0,0
3082,54986028,0,11,,5370.0,,0
3085,59004521,0,15,,756.0,21255.0,0
3090,58990826,0,13,68200.0,4190.4,23105.0,0
3099,59001343,0,14,19800.0,0.0,13797.0,0
3103,59003192,0,15,,181365.6,200500.0,0
3114,58990469,0,13,,3487.2,5316.0,1
3121,54985691,0,3,50600.0,56550.0,47624.0,1
3127,58990200,0,2,,10080.0,11000.0,0
3139,58998876,0,3,,16677.6,28300.0,0
3159,59003191,0,6,69300.0,-1.2,7858.0,0
3162,59005290,0,7,,58614.0,35804.0,0
3171,54985748,0,2,,18000.0,23000.0,0
3189,59005255,0,7,114400.0,89700.0,83562.0,0
3191,58986723,0,5,91300.0,182.4,9176.0,0
3194,54986851,0,1,78100.0,21942.0,18785.0,1
3200,58984757,0,1,75900.0,2020.8,2184.0,0
3203,59002534,1,4,,126000.0,105500.0,0
3208,54983809,0,2,,47700.0,40500.0,1
3211,59003138,0,5,39600.0,25215.6,29814.0,0
3215,58987210,0,6,,4560.0,19500.0,0
3225,58989777,0,2,99000.0,40957.2,37131.0,0
3236,58986051,0,3,,114585.6,100500.0,0
3238,54989201,0,3,,23520.0,25000.0,0
3244,58985717,0,3,,29247.6,33000.0,0
3247,59004658,0,6,55000.0,20966.4,17972.0,1
3248,54983915,0,4,47300.0,187.2,4437.0,0
3251,58989284,0,1,,33600.0,35500.0,0
3267,54984671,0,7,,2078.4,10892.0,0
3273,58995493,0,5,,2808.0,4607.0,0
3274,54985730,0,2,23100.0,4140.0,11448.0,1
3276,58989132,0,1,102300.0,42316.8,35763.0,0
3281,58989746,0,2,74800.0,28558.8,69527.0,1
3286,58996010,0,4,,111966.0,100500.0,0
3291,59001692,0,3,,8551.2,7626.0,0
3301,54986029,0,4,,1230.0,,0
3314,54985832,0,2,,33268.8,,1
3321,54986113,0,4,,633732.0,549938.0,0
3327,54986045,0,3,,19490.4,32990.0,0
3336,54984476,0,4,,10368.0,22100.0,0
3345,54987320,0,5,,41966.4,35472.0,0
3354,54987487,0,3,121000.0,25731.6,28472.0,0
3360,58983271,0,1,,0.0,,0
3367,54989788,0,4,,23940.0,29000.0,0
3378,58982978,0,1,,19118.4,24400.0,1
3405,54983292,0,2,,155492.4,1450500.0,0
3421,54982913,0,1,,371622.0,319500.0,0
3425,58999963,0,4,,15994.8,30494.0,0
3431,58991395,0,2,,381136.8,314500.0,0
3448,59004349,0,6,180400.0,28890.0,64187.0,0
3453,58987161,0,4,103400.0,44084.4,51151.0,0
3458,58995532,0,6,111100.0,0.0,18437.0,0
3462,58983482,0,1,,0.0,,0
3481,54988614,0,9,,1500.0,15500.0,0
3487,58984557,0,4,161700.0,36333.6,73513.0,0
3494,54983601,30,4,112200.0,27194.4,24917.0,0
3500,54986055,0,6,,14064.0,29800.0,0
3507,58990273,0,6,100100.0,-1.2,28746.0,0
3513,58991271,0,1,,654562.8,544500.0,0
3527,59002005,0,8,106700.0,35824.8,96073.0,0
3531,54983307,0,7,67100.0,14257.2,39861.0,0
3542,58999145,0,8,,6000.0,30500.0,0
3566,54984211,0,9,,3209468.4,2700500.0,0
3579,54985988,0,10,117700.0,61747.2,104100.0,0
3583,58991922,0,10,,4800.0,,0
3592,58996823,0,9,,0.0,16750.0,0
3594,58992602,0,11,,-1.2,3655.0,0
3600,58998166,0,8,,199824.0,202000.0,0
3614,58997951,0,8,,3336.0,17190.0,1
3628,58990737,0,4,,1868848.8,1600500.0,1
3632,58997314,0,5,,405358.8,350500.0,0
3646,59002046,0,9,,25200.0,21500.0,0
3647,58996112,0,13,,52236.0,55500.0,0
3658,54985473,0,4,,12940.8,30545.0,0
3663,58984516,0,6,,1586.4,1846.0,0
3685,58988855,0,1,84700.0,-445.2,3869.0,0
3693,58998029,0,9,55000.0,22269.6,29594.0,0
3700,54988970,0,6,,36478.8,30899.0,0
3702,54987636,0,13,,11906.4,21933.0,1
3705,58996391,0,15,,1128216.0,958414.0,1
3710,59000320,0,12,118800.0,49240.8,95536.0,0
3712,54992564,0,14,110000.0,-2.4,67676.0,0
3717,58990154,0,11,86900.0,4465.2,41558.0,0
3744,54990497,0,1,,0.0,250197.0,0
3792,54988984,0,10,,158384.4,150500.0,0
3795,54986075,18,11,70400.0,41290.8,51621.0,1
3803,58989056,0,10,,147276.0,150500.0,1
3808,58997607,0,1,,0.0,20500.0,0
3833,54982727,0,1,70400.0,4044.0,3869.0,0
3851,58986188,0,4,38500.0,0.0,35210.0,0
3856,54987747,0,1,,13720.8,27950.0,0
3858,58994299,0,7,,10442.4,22251.0,0
3874,58987511,0,6,,29017.2,37951.0,0
3877,54986977,0,5,,21000.0,42500.0,1
3883,58991249,0,5,55000.0,13824.0,24992.0,0
3886,59000958,30,3,48400.0,-34.8,1077.0,0
3892,54988244,0,7,36300.0,21268.8,32796.0,0
3899,58990897,0,5,,-1.2,17840.0,0
3903,54985606,0,4,183700.0,207001.2,178169.0,0
3910,59000842,0,5,40700.0,45039.6,38905.0,1
3914,54984416,0,1,,328124.4,273937.0,0
3915,58995172,0,7,,975210.0,900500.0,0
3917,58996507,0,7,67100.0,35470.8,47575.0,0
3919,58993131,0,2,,42852.0,36210.0,1
3930,58984889,0,3,114400.0,111727.2,100479.0,0
3932,58982354,0,1,,16800000.0,14000500.0,1
3938,59003131,0,7,,1688.4,27840.0,0
3939,58987900,0,7,84700.0,2948.4,47442.0,0
3948,58987028,0,5,66000.0,48414.0,60865.0,1
3951,58991618,0,5,,6796.8,25990.0,1
3962,58990986,0,2,,3195.6,3163.0,0
3966,58992592,0,6,,-2.4,16698.0,0
3970,58994346,0,6,,18576.0,39200.0,0
3993,54986879,0,6,,11700.0,20000.0,0
4000,54983411,0,3,123200.0,127846.8,107039.0,0
4007,58985900,0,4,,146356.8,125500.0,1
4030,58995726,0,9,,19672.8,82041.0,0
4039,59002317,0,7,,3600.0,18500.0,0
4049,58998275,0,3,,71864.4,66800.0,1
4064,54986688,0,5,,313273.2,280500.0,0
4068,58988432,0,1,,360000.0,300500.0,0
4076,54986167,0,5,,7293.6,15090.0,0
4088,54985654,0,2,,24240.0,20700.0,1
4091,58989333,0,3,107800.0,2176.8,98264.0,0
4093,54985176,0,2,,172800.0,144500.0,0
4101,58984702,0,2,193600.0,10698.0,10851.0,0
4110,59004394,0,7,46200.0,54134.4,48356.0,0
4112,58999019,0,2,,34260.0,,0
4119,59003935,0,6,,5160.0,13400.0,0
4122,59004203,0,7,82500.0,13498.8,32390.0,0
4125,59003965,0,5,66000.0,-10.8,18191.0,0
4128,58998405,0,2,,931.2,1336.0,0
4133,58992006,0,1,,21960.0,31000.0,1
4138,58991938,0,5,,132480.0,110900.0,0
4151,58988933,0,1,,1807909.2,2276500.0,0
4155,58997773,0,2,49500.0,48249.6,43795.0,1
4159,58984475,0,4,124300.0,2.4,10218.0,0
4164,59005448,0,9,,5562.0,,0
4175,58988505,0,2,,826604.4,700500.0,0
4180,58991759,0,8,,18000.0,45500.0,0
4193,58990289,0,8,330000.0,234530.4,204548.0,0
4198,54983466,0,5,82500.0,0.0,9409.0,0
4206,54983561,0,6,,5520.0,12000.0,1
4212,58988822,0,5,,286934.4,250500.0,0
4238,58988956,0,6,,15999.6,24501.0,0
4249,54982856,0,6,,330338.4,304879.0,1
4257,54990339,0,8,,621036.0,480500.0,0
4259,54985355,0,6,,566413.2,520500.0,0
4275,58998566,0,8,,3978.0,3815.0,0
4287,54987088,0,11,,44857.2,,0
4311,58988942,0,5,,18720.0,26500.0,0
4320,58989592,7,3,,-32.4,973.0,1
4322,58993040,0,11,,113031.6,96151.0,0
4330,58998706,0,8,,18576.0,32860.0,0
4342,58993803,0,2,,0.0,,0
4359,54985214,0,2,,0.0,46281.0,0
4368,58997354,0,8,,10722.0,,0
